Plot Title: Riihiluoma 1,,,,
index,time,new_fridge,water_heater,old_fridge
423,02/10/2021 10:47:38 PM,1.099,0.073,0.659
424,02/10/2021 10:48:38 PM,1.099,0.073,0.684
425,02/10/2021 10:49:38 PM,1.099,0.049,0.659
426,02/10/2021 10:50:38 PM,1.099,0.073,0.659
427,02/10/2021 10:51:38 PM,1.099,0.073,0.659
428,02/10/2021 10:52:38 PM,1.099,0.073,0.659
429,02/10/2021 10:53:38 PM,1.074,18.413,0.708
430,02/10/2021 10:54:38 PM,1.074,18.437,0.733
431,02/10/2021 10:55:38 PM,1.074,18.462,0.733
432,02/10/2021 10:56:38 PM,1.074,18.437,0.708
433,02/10/2021 10:57:38 PM,1.074,18.462,0.733
434,02/10/2021 10:58:38 PM,1.074,18.462,0.733
435,02/10/2021 10:59:38 PM,1.074,18.437,0.708
436,02/10/2021 11:00:38 PM,1.074,18.486,0.708
437,02/10/2021 11:01:38 PM,1.074,18.535,0.708
438,02/10/2021 11:02:38 PM,1.074,18.535,0.733
439,02/10/2021 11:03:38 PM,1.074,18.510,0.733
440,02/10/2021 11:04:38 PM,1.074,18.510,0.733
441,02/10/2021 11:05:38 PM,1.050,18.486,0.708
442,02/10/2021 11:06:38 PM,1.074,18.486,0.733
443,02/10/2021 11:07:38 PM,1.050,0.073,0.659
444,02/10/2021 11:08:38 PM,1.074,0.049,0.659
445,02/10/2021 11:09:38 PM,1.074,0.049,0.659
446,02/10/2021 11:10:38 PM,1.050,0.073,0.635
447,02/10/2021 11:11:38 PM,1.050,0.073,0.635
448,02/10/2021 11:12:38 PM,1.270,0.073,0.635
449,02/10/2021 11:13:38 PM,1.050,0.073,0.635
450,02/10/2021 11:14:38 PM,1.050,0.073,0.635
451,02/10/2021 11:15:38 PM,1.050,0.073,0.635
452,02/10/2021 11:16:38 PM,1.050,0.049,0.659
453,02/10/2021 11:17:38 PM,1.050,0.073,0.635
454,02/10/2021 11:18:38 PM,1.148,0.073,0.659
455,02/10/2021 11:19:38 PM,1.123,0.073,0.635
456,02/10/2021 11:20:38 PM,1.172,0.073,0.659
457,02/10/2021 11:21:38 PM,1.172,0.073,0.659
458,02/10/2021 11:22:38 PM,1.197,0.073,0.659
